date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:23	50872/50872	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2005:21:22%20GMT	https://html.kodesolution.com/2023/hoexr-html/index-1-single.html	D:/Delhi/Hotel%20Single%20Page/html.kodesolution.com/2023/hoexr-html/index-1-single.html	(from )
22:55:23	714/714	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Jul%202025%2017:25:24%20GMT	https://html.kodesolution.com/robots.txt		(from )
22:55:24	163826/163826	---MCZ	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202024%2006:40:35%20GMT	https://html.kodesolution.com/2023/hoexr-html/css/bootstrap.min.css	D:/Delhi/Hotel%20Single%20Page/html.kodesolution.com/2023/hoexr-html/css/bootstrap.min.css	(from https://html.kodesolution.com/2023/hoexr-html/index-1-single.html)
22:55:24	14849/14849	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Nov%202023%2009:07:20%20GMT	https://html.kodesolution.com/2023/hoexr-html/css/flatpickr.min.css	D:/Delhi/Hotel%20Single%20Page/html.kodesolution.com/2023/hoexr-html/css/flatpickr.min.css	(from https://html.kodesolution.com/2023/hoexr-html/index-1-single.html)
22:55:24	357507/357507	---MCZ	200	added ('OK')	text/css	date:Sat,%2026%20Oct%202024%2004:42:15%20GMT	https://html.kodesolution.com/2023/hoexr-html/css/style.css	D:/Delhi/Hotel%20Single%20Page/html.kodesolution.com/2023/hoexr-html/css/style.css	(from https://html.kodesolution.com/2023/hoexr-html/index-1-single.html)
22:55:24	3087/3087	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Nov%202023%2009:07:20%20GMT	https://html.kodesolution.com/2023/hoexr-html/css/slick-theme.css	D:/Delhi/Hotel%20Single%20Page/html.kodesolution.com/2023/hoexr-html/css/slick-theme.css	(from https://html.kodesolution.com/2023/hoexr-html/index-1-single.html)
22:55:24	1776/1776	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Nov%202023%2009:07:20%20GMT	https://html.kodesolution.com/2023/hoexr-html/css/slick.css	D:/Delhi/Hotel%20Single%20Page/html.kodesolution.com/2023/hoexr-html/css/slick.css	(from https://html.kodesolution.com/2023/hoexr-html/index-1-single.html)
22:55:25	622/622	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Nov%202023%2009:07:20%20GMT	https://html.kodesolution.com/2023/hoexr-html/images/favicon.png	D:/Delhi/Hotel%20Single%20Page/html.kodesolution.com/2023/hoexr-html/images/favicon.png	(from https://html.kodesolution.com/2023/hoexr-html/index-1-single.html)
22:55:26	54169/54169	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2005:21:22%20GMT	https://html.kodesolution.com/2023/hoexr-html/index.html	D:/Delhi/Hotel%20Single%20Page/html.kodesolution.com/2023/hoexr-html/index.html	(from https://html.kodesolution.com/2023/hoexr-html/index-1-single.html)
22:55:26	1269/1269	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Nov%202023%2009:07:20%20GMT	https://html.kodesolution.com/2023/hoexr-html/images/logo-v4-black.png	D:/Delhi/Hotel%20Single%20Page/html.kodesolution.com/2023/hoexr-html/images/logo-v4-black.png	(from https://html.kodesolution.com/2023/hoexr-html/index-1-single.html)
22:55:26	20209/20209	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2005:21:22%20GMT	https://html.kodesolution.com/2023/hoexr-html/page-contact.html	D:/Delhi/Hotel%20Single%20Page/html.kodesolution.com/2023/hoexr-html/page-contact.html	(from https://html.kodesolution.com/2023/hoexr-html/index-1-single.html)
